player_id,natural_pos,OVR,ST_combo,LW_combo,RW_combo,CM_combo,CDM_combo,CAM_combo,LB_combo,RB_combo,CB_combo,best_combo_pos,best_combo_score
24379,CM,68,12.4,47.9,50.8,75.6,60.0,63.4,54.8,53.6,24.0,CM,75.6
128105,CM,73,12.1,38.8,42.0,76.8,67.5,59.5,55.2,52.9,23.7,CM,76.8
182323,LB,71,8.9,51.0,55.5,75.3,70.8,57.6,75.5,72.4,30.5,LB,75.5
243725,CM,72,10.8,45.1,49.1,74.9,73.7,61.6,68.1,67.9,37.5,CM,74.9
312678,CB,75,6.4,23.2,27.0,51.4,76.2,29.1,70.3,72.0,72.6,CDM,76.2
327757,ST,74,74.9,72.8,69.8,35.0,17.2,73.4,14.9,19.2,10.6,ST,74.9
396640,CDM,69,10.1,42.0,44.9,73.6,74.9,56.6,67.2,66.1,41.6,CDM,74.9
397090,LW,76,54.4,71.7,71.3,56.8,35.2,76.6,41.9,42.8,9.9,CAM,76.6
408563,CB,71,8.5,30.2,33.3,50.6,74.5,32.1,72.4,72.0,70.9,CDM,74.5
421710,RW,68,61.5,74.8,72.3,37.8,21.2,72.5,37.8,40.9,11.5,LW,74.8
439343,ST,69,77.2,72.5,69.5,38.0,12.8,72.9,10.1,13.8,10.7,ST,77.2
469976,LB,74,10.4,47.9,52.3,64.5,68.2,52.6,75.6,73.8,41.7,LB,75.6
498529,CM,73,9.4,43.0,46.6,76.7,74.6,57.8,71.1,69.7,33.5,CM,76.7
520815,CB,74,9.0,17.5,20.9,36.8,64.9,19.4,61.4,62.2,78.0,CB,78.0
586756,RB,69,11.3,51.6,56.1,48.1,54.2,46.9,74.1,75.2,36.4,RB,75.2
210009,CB,70,10.8,26.8,30.4,65.8,74.9,41.0,58.7,58.3,71.5,CDM,74.9
222320,CB,71,9.0,15.6,17.7,46.1,70.5,23.7,54.9,56.6,77.5,CB,77.5
222977,LB,73,10.3,48.6,52.4,77.0,67.7,61.4,69.3,67.0,30.3,CM,77.0
229817,ST,72,69.1,75.0,71.6,42.1,24.4,75.2,8.6,12.2,26.1,CAM,75.2
238500,LB,70,11.6,47.9,50.2,66.5,64.2,58.4,74.3,74.8,17.6,RB,74.8
248355,ST,74,46.0,69.3,68.2,59.1,40.8,75.0,42.6,43.8,10.5,CAM,75.0
271787,ST,67,75.4,65.6,61.7,39.6,21.9,69.9,9.1,12.6,21.9,ST,75.4
354214,ST,65,80.0,60.1,56.2,27.6,14.3,59.8,6.6,10.4,24.5,ST,80.0
433105,CAM,68,35.0,64.4,63.9,61.9,42.3,74.8,38.5,40.5,11.5,CAM,74.8
481128,ST,71,73.5,73.2,71.8,44.0,22.2,74.3,33.4,37.3,11.1,CAM,74.3
508780,LW,68,67.9,75.5,73.3,41.0,14.4,75.5,16.6,20.1,12.0,CAM,75.5
581429,CB,63,10.1,20.4,23.9,43.4,60.7,25.2,53.5,55.3,76.4,CB,76.4
1137664,ST,62,76.7,66.7,63.4,27.4,9.5,65.8,10.8,16.2,25.4,ST,76.7
453810,LW,65,40.2,72.6,73.7,46.1,26.4,71.3,42.3,43.4,13.8,RW,73.7
610484,ST,65,77.7,67.3,63.6,28.7,9.7,63.9,12.9,17.1,17.8,ST,77.7
82350,CB,72,8.9,13.5,14.9,50.1,72.6,25.1,47.2,46.6,78.0,CB,78.0
119234,ST,73,56.1,70.0,68.7,50.7,36.8,73.1,40.5,41.1,13.1,CAM,73.1
127573,LB,74,7.9,49.2,54.1,65.2,65.0,53.6,77.3,77.2,33.1,LB,77.3
153198,CB,67,10.2,26.3,28.4,45.4,68.2,26.4,72.8,73.7,72.2,RB,73.7
164265,ST,64,73.6,67.7,63.4,42.1,20.4,68.4,11.5,13.6,17.6,ST,73.6
168989,RB,74,10.0,49.8,53.3,75.0,72.1,59.4,73.3,72.5,35.8,CM,75.0
196139,ST,74,78.7,56.6,51.5,21.8,14.3,57.0,9.3,14.1,15.5,ST,78.7
232454,CM,78,17.8,61.8,64.6,78.6,56.4,73.5,47.4,44.9,9.8,CM,78.6
240274,LB,67,11.2,43.7,47.6,54.5,61.2,42.5,72.8,74.5,42.9,RB,74.5
