player_id,natural_pos,OVR,ST_combo,LW_combo,RW_combo,CM_combo,CDM_combo,CAM_combo,LB_combo,RB_combo,CB_combo,best_combo_pos,best_combo_score
215,ST,69,77.4,40.4,37.0,37.8,18.5,56.9,5.1,8.5,36.6,ST,77.4
1073,CB,73,56.1,10.0,15.6,53.2,68.7,27.2,60.3,58.3,77.9,CB,77.9
2805,LB,78,34.7,39.4,40.5,41.5,60.2,22.2,81.3,79.5,50.6,LB,81.3
3333,CM,75,32.4,29.4,27.6,80.6,77.6,53.6,71.9,68.8,23.1,CM,80.6
3881,RB,73,37.5,29.7,33.8,43.1,63.4,16.2,77.8,76.8,57.2,LB,77.8
5017,CB,69,54.1,11.6,15.8,67.0,75.3,38.4,49.1,47.9,67.4,CDM,75.3
5474,CB,67,66.7,7.7,12.0,60.9,70.9,38.2,42.5,41.0,72.0,CB,72.0
5917,CB,67,66.2,9.6,19.0,60.0,71.3,25.9,52.2,51.0,71.6,CB,71.6
6107,CB,70,54.8,6.3,13.4,38.9,63.0,17.1,51.0,49.1,75.2,CB,75.2
7161,CAM,82,39.4,72.4,69.1,77.2,59.9,82.7,49.7,50.4,17.0,CAM,82.7
7663,RW,67,51.4,74.1,73.4,46.3,15.9,68.4,19.3,23.9,1.0,LW,74.1
7776,CB,64,56.9,21.7,29.3,31.4,57.0,11.2,70.9,69.7,69.5,LB,70.9
8198,ST,86,84.8,75.5,72.2,52.8,16.3,79.1,11.2,15.7,18.1,ST,84.8
8746,LB,73,35.8,43.7,44.8,32.3,48.2,18.8,76.4,77.5,38.4,RB,77.5
9915,CB,68,52.7,18.0,18.6,72.6,75.9,48.8,55.1,53.0,52.3,CDM,75.9
11111,CB,72,60.0,16.4,23.2,62.7,76.5,29.2,69.3,67.6,76.0,CDM,76.5
12249,CM,79,25.6,40.9,39.2,82.9,74.4,66.0,62.2,59.8,21.1,CM,82.9
12282,CB,80,48.7,20.8,21.7,78.6,84.4,46.3,71.7,69.2,63.9,CDM,84.4
13217,RB,70,18.4,42.2,46.2,60.8,60.9,32.4,75.8,74.8,16.1,LB,75.8
14031,ST,61,69.9,52.3,51.1,31.2,5.6,59.5,0.0,2.1,6.7,ST,69.9
14086,RB,73,49.5,36.6,33.2,72.0,69.9,49.6,78.7,76.6,23.1,LB,78.7
14282,CB,82,50.9,26.1,26.0,60.6,80.6,28.2,83.3,79.0,70.5,LB,83.3
15185,CAM,72,69.6,59.1,56.9,62.9,24.3,77.6,9.6,12.8,11.0,CAM,77.6
15452,CB,79,53.8,5.9,10.9,59.3,79.4,29.0,58.4,55.7,81.7,CB,81.7
15799,CM,75,48.7,61.3,60.0,79.5,57.9,80.1,48.3,47.7,15.2,CAM,80.1
15956,RB,80,37.8,67.6,65.1,72.6,67.7,60.4,82.8,82.1,22.2,LB,82.8
16136,CB,79,58.5,11.4,15.4,66.6,80.8,38.2,57.5,54.9,81.4,CB,81.4
16306,CDM,84,60.8,19.6,19.1,76.8,84.1,52.8,64.0,61.4,72.2,CDM,84.1
16417,CB,67,52.1,6.5,13.5,32.8,55.1,5.5,54.8,53.8,72.7,CB,72.7
16902,RW,62,40.6,69.8,70.3,50.6,29.6,66.6,28.6,31.2,0.9,RW,70.3
18922,ST,86,84.0,76.4,73.3,60.9,27.6,83.6,9.9,13.8,27.7,ST,84.0
18934,CM,69,47.4,16.8,17.9,75.4,71.5,55.4,45.9,43.5,42.5,CM,75.4
19305,LB,66,47.1,18.4,20.7,74.6,72.2,48.3,61.7,59.9,44.8,CM,74.6
19712,CB,70,63.4,3.8,8.7,50.6,60.2,28.3,35.2,33.3,75.6,CB,75.6
20137,CM,74,33.4,41.6,40.7,79.2,68.8,66.1,57.9,56.2,19.5,CM,79.2
21480,LB,70,26.4,47.2,52.6,55.0,57.5,35.4,74.0,73.2,18.8,LB,74.0
22519,CM,58,45.5,59.3,63.9,66.3,38.1,57.3,43.9,48.0,8.4,CM,66.3
22686,ST,70,77.1,59.2,56.9,25.3,14.6,53.3,4.8,9.7,31.0,ST,77.1
22972,CB,65,58.1,18.4,25.3,42.8,56.6,11.6,67.1,66.4,71.8,CB,71.8
23306,CM,64,38.8,44.9,46.3,70.7,48.9,63.9,38.7,39.0,7.2,CM,70.7
23389,ST,70,75.1,66.0,64.2,32.3,6.8,62.0,3.3,8.7,14.5,ST,75.1
24113,RB,66,43.1,19.6,20.3,75.0,67.1,54.9,52.2,49.8,25.6,CM,75.0
24379,CM,68,39.4,50.7,51.0,75.3,55.6,67.2,49.0,48.6,15.6,CM,75.3
25942,CB,66,64.9,13.9,14.7,70.4,73.1,50.9,45.5,43.5,69.0,CDM,73.1
26485,CB,68,54.3,10.2,15.0,69.3,75.6,34.7,54.7,51.8,75.2,CDM,75.6
27178,CB,70,55.4,12.5,17.1,60.8,73.7,32.9,56.5,54.5,75.7,CB,75.7
27305,CDM,59,28.3,13.8,22.5,68.6,54.6,47.0,25.9,25.2,16.9,CM,68.6
27661,ST,70,75.4,55.8,53.5,67.3,30.8,76.2,14.0,14.6,14.5,CAM,76.2
27992,CM,86,36.8,68.9,68.1,85.7,70.0,78.8,68.1,67.5,19.2,CM,85.7
28003,RW,88,62.1,81.5,78.6,69.1,31.2,86.8,26.4,29.1,4.0,CAM,86.8
28396,ST,82,81.8,59.8,57.2,62.7,35.7,76.1,6.6,9.4,44.0,ST,81.8
29364,CM,77,36.5,33.2,32.1,80.6,66.5,62.6,48.1,46.8,18.5,CM,80.6
30687,CAM,73,48.1,68.3,66.3,70.6,50.7,76.9,51.8,51.9,7.6,CAM,76.9
30982,ST,56,69.5,44.8,43.7,47.3,16.6,64.1,6.9,10.4,12.3,ST,69.5
31552,LW,63,62.4,71.0,70.4,46.6,22.5,68.2,20.5,24.7,9.1,LW,71.0
31599,CDM,71,57.8,16.7,20.1,59.3,76.0,31.1,68.0,65.2,70.9,CDM,76.0
31645,CM,65,46.2,70.7,72.0,66.1,49.3,67.9,51.6,53.6,10.8,RW,72.0
32113,CB,74,52.2,4.8,11.8,46.8,70.0,15.8,57.4,55.6,76.8,CB,76.8
32467,CM,80,26.6,33.9,30.7,83.4,74.2,67.5,57.6,54.7,24.1,CM,83.4
32816,CB,82,50.8,26.1,26.0,60.6,80.4,28.2,83.3,79.0,69.2,LB,83.3
33218,CDM,65,19.3,25.6,27.5,75.0,63.5,59.9,33.1,29.7,14.6,CM,75.0
33507,ST,65,77.0,40.0,38.7,37.0,22.4,51.7,5.9,9.1,38.9,ST,77.0
33544,RB,65,58.2,71.4,71.0,64.8,59.6,70.7,51.2,50.1,17.2,LW,71.4
33571,RB,72,74.9,26.3,23.1,65.8,65.9,42.6,76.7,77.4,65.1,RB,77.4
33706,LW,73,71.4,72.6,71.0,57.7,22.9,78.3,9.0,12.8,11.7,CAM,78.3
33763,ST,75,77.9,59.4,55.6,43.7,13.1,68.8,1.3,6.1,18.7,ST,77.9
33829,CB,75,60.1,8.0,10.9,59.4,73.1,32.7,53.1,51.6,79.6,CB,79.6
34198,CB,70,55.9,10.4,14.4,57.6,70.8,28.3,56.4,54.7,75.2,CB,75.2
34336,CB,69,62.8,16.1,22.4,42.4,65.5,26.7,60.4,59.4,74.0,CB,74.0
34601,ST,74,78.4,51.6,50.8,47.2,19.8,68.1,2.1,7.4,22.1,ST,78.4
35047,CB,80,62.8,18.2,18.8,74.8,83.0,49.9,58.7,56.2,77.2,CDM,83.0
35099,ST,63,72.8,45.9,44.9,47.5,20.8,61.4,0.3,4.0,28.7,ST,72.8
35245,RW,75,50.0,78.8,76.6,57.3,43.0,73.7,56.6,57.7,11.6,LW,78.8
289846,ST,65,73.7,46.3,45.9,29.7,11.5,52.3,0.8,4.8,22.4,ST,73.7
