player_id,natural_pos,OVR,ST_combo,LW_combo,RW_combo,CM_combo,CDM_combo,CAM_combo,LB_combo,RB_combo,CB_combo,best_combo_pos,best_combo_score
85295,RB,77,29.7,50.0,46.5,54.6,62.1,39.8,78.7,77.5,20.3,LB,78.7
159288,CB,69,53.9,11.3,13.9,41.6,62.1,17.1,60.9,59.2,72.8,CB,72.8
165513,CB,78,54.1,12.8,14.1,50.7,65.0,23.9,59.3,58.5,80.7,CB,80.7
308278,ST,76,77.1,68.2,63.6,40.9,19.0,75.2,14.3,7.4,21.6,ST,77.1
371371,CB,74,50.7,5.4,8.5,46.3,65.3,18.1,51.7,49.9,78.9,CB,78.9
390177,CAM,74,46.5,75.5,69.5,69.1,56.8,76.9,59.9,58.9,15.6,CAM,76.9
435228,CB,71,46.9,8.0,16.9,47.0,65.2,21.2,59.8,58.7,75.5,CB,75.5
442703,CDM,70,38.6,17.8,15.0,60.4,74.6,37.7,51.0,47.8,51.4,CDM,74.6
448920,CB,70,48.9,11.0,13.4,45.7,60.8,20.9,60.7,60.5,75.2,CB,75.2
457237,CB,60,43.5,2.4,7.1,43.7,57.3,19.4,46.2,44.5,70.3,CB,70.3
543771,CDM,75,37.2,33.0,31.2,77.5,75.6,53.8,56.2,53.5,19.8,CM,77.5
571743,ST,73,76.2,60.4,58.6,35.0,15.8,64.9,7.9,3.6,26.3,ST,76.2
583046,CM,60,45.0,10.8,13.1,69.4,69.8,45.8,45.8,41.4,47.8,CDM,69.8
606967,RW,71,52.1,76.5,74.5,48.4,34.5,69.3,43.0,41.2,10.4,LW,76.5
931567,ST,62,70.0,59.5,56.1,27.7,8.1,62.0,6.4,1.4,10.8,ST,70.0
80293,CB,76,53.0,22.0,18.2,68.4,78.3,31.0,75.2,76.0,75.4,CDM,78.3
126656,LB,73,35.2,36.8,22.3,72.4,77.4,42.7,68.8,65.6,36.8,CDM,77.4
232895,RW,72,63.0,75.1,72.2,52.1,20.6,75.4,22.8,17.9,7.0,CAM,75.4
