player_id,natural_pos,OVR,ST_combo,LW_combo,RW_combo,CM_combo,CDM_combo,CAM_combo,LB_combo,RB_combo,CB_combo,best_combo_pos,best_combo_score
85295,RB,77,29.9,50.4,46.8,54.8,62.6,39.8,78.7,77.4,20.2,LB,78.7
159288,CB,69,54.1,11.3,14.0,41.4,62.1,16.9,61.1,59.3,72.7,CB,72.7
165513,CB,78,54.1,12.7,14.1,50.7,65.2,23.9,59.3,58.4,80.7,CB,80.7
308278,ST,76,77.1,68.2,63.6,40.4,18.4,75.2,14.3,7.5,21.2,ST,77.1
371371,CB,74,50.7,5.4,8.5,46.2,65.4,18.1,51.8,49.9,78.8,CB,78.8
390177,CAM,74,46.7,75.6,69.6,69.2,57.0,76.8,60.0,59.0,15.6,CAM,76.8
435228,CB,71,47.0,8.0,16.9,46.9,65.3,21.0,60.0,58.7,75.5,CB,75.5
442703,CDM,70,38.6,17.7,15.0,60.1,74.6,37.5,50.9,47.7,51.0,CDM,74.6
448920,CB,70,49.0,10.9,13.4,45.6,60.8,20.9,60.8,60.5,75.1,CB,75.1
457237,CB,60,43.7,2.3,7.3,43.5,57.2,19.4,46.5,44.7,70.3,CB,70.3
543771,CDM,75,37.3,33.2,31.5,77.5,75.9,53.7,56.1,53.4,19.8,CM,77.5
571743,ST,73,76.2,60.3,58.6,34.4,15.1,64.8,8.0,3.7,26.0,ST,76.2
583046,CM,60,45.2,10.8,13.3,69.2,69.8,45.7,46.2,41.7,47.6,CDM,69.8
606967,RW,71,52.2,76.5,74.5,48.2,34.3,69.2,43.1,41.4,10.3,LW,76.5
931567,ST,62,70.0,59.4,56.0,26.9,7.1,61.9,6.5,1.6,10.3,ST,70.0
80293,CB,76,52.8,22.0,18.2,68.2,78.4,30.8,74.8,75.4,75.0,CDM,78.4
126656,LB,73,35.0,36.7,22.3,72.1,77.5,42.2,68.1,64.9,36.1,CDM,77.5
232895,RW,72,63.0,75.3,72.3,51.9,20.3,75.4,23.1,18.3,6.9,CAM,75.4
245537,CDM,78,28.4,29.5,22.1,79.7,75.5,60.0,38.4,33.5,25.2,CM,79.7
284732,LB,78,53.6,32.8,25.4,50.8,69.7,38.4,76.9,80.8,54.4,RB,80.8
290532,LW,78,51.1,78.9,74.5,58.7,36.8,78.4,37.0,32.9,6.2,LW,78.9
325924,CB,70,45.6,18.1,18.8,52.4,74.9,27.0,70.2,68.8,71.2,CDM,74.9
327863,RB,73,21.8,55.8,53.4,53.5,59.0,48.6,76.1,77.2,15.9,RB,77.2
351816,CDM,83,34.6,64.3,58.7,82.9,81.0,69.6,78.4,78.0,23.1,CM,82.9
394328,RW,74,47.4,76.2,73.3,56.5,32.5,75.7,36.1,34.2,0.9,LW,76.2
395693,CM,75,48.0,62.2,56.6,77.7,61.2,77.3,48.0,43.2,16.8,CM,77.7
416660,CDM,75,20.4,28.4,23.6,77.6,77.5,55.7,51.0,47.2,20.5,CM,77.6
425400,LW,70,42.6,72.0,68.8,59.5,42.3,73.7,49.4,47.9,6.2,CAM,73.7
512690,LW,63,45.6,66.4,64.5,48.7,20.9,69.9,21.7,16.9,4.0,CAM,69.9
545400,ST,68,56.2,74.2,72.4,34.1,16.5,68.6,19.6,14.4,3.7,LW,74.2
554251,LB,68,30.3,34.7,30.9,30.3,52.1,17.3,73.3,71.4,22.6,LB,73.3
560593,CM,76,50.2,47.8,41.6,76.3,78.8,60.8,77.5,78.6,22.8,CDM,78.8
578391,LB,79,22.3,48.0,44.9,57.1,63.3,38.1,79.2,80.5,23.5,RB,80.5
587588,RW,66,44.9,72.7,72.3,46.1,29.0,65.7,35.8,28.3,6.9,LW,72.7
592400,CAM,72,44.4,70.9,67.5,66.5,61.6,75.7,63.4,62.5,13.2,CAM,75.7
592403,CM,76,36.7,37.7,26.1,78.7,72.9,56.7,50.9,48.4,22.3,CM,78.7
592979,CAM,73,60.8,53.7,45.9,75.7,51.1,75.5,26.1,20.9,18.4,CM,75.7
625142,CB,67,49.5,10.2,16.3,49.9,60.4,19.2,60.9,59.0,73.3,CB,73.3
707242,RW,69,50.1,73.6,70.5,54.7,26.7,74.3,30.2,26.9,3.3,CAM,74.3
746910,ST,75,59.7,79.1,76.8,53.7,36.0,78.3,46.6,46.5,10.3,LW,79.1
748445,CM,65,31.5,62.2,56.8,70.6,61.8,70.9,61.7,60.6,9.7,CAM,70.9
750903,LB,68,18.4,36.7,33.5,29.5,59.5,19.9,73.7,71.7,32.0,LB,73.7
840254,ST,64,73.5,52.4,51.0,32.2,13.4,59.3,3.5,0.0,24.9,ST,73.5
855015,CAM,77,49.3,70.8,62.1,78.7,65.4,78.8,66.2,64.9,21.8,CAM,78.8
864306,RB,65,39.4,72.7,70.5,56.7,55.5,66.8,70.7,68.4,15.4,LW,72.7
917911,RW,67,44.7,70.8,70.6,48.0,29.2,68.6,37.1,34.5,1.8,LW,70.8
187718,RB,76,39.5,25.4,22.8,58.0,78.2,33.9,74.4,71.6,41.0,CDM,78.2
322702,RW,74,50.3,77.7,75.7,54.1,33.5,73.9,39.2,37.2,1.6,LW,77.7
354814,ST,78,78.6,67.2,66.4,40.3,11.2,73.0,11.3,8.6,15.8,ST,78.6
481627,LB,68,15.1,31.3,34.5,40.2,53.8,19.8,73.7,72.3,30.9,LB,73.7
498237,CB,76,52.7,6.5,12.2,50.5,66.3,24.3,48.4,45.8,80.2,CB,80.2
514304,LW,69,55.0,73.8,71.7,46.0,23.4,69.8,26.6,23.9,5.7,LW,73.8
666539,CM,68,16.4,36.7,31.4,68.4,74.6,52.9,62.2,62.8,17.3,CDM,74.6
666545,LW,64,37.9,70.3,69.6,45.2,14.6,69.8,17.5,12.2,0.0,LW,70.3
666547,ST,73,57.1,78.7,75.2,45.5,30.8,68.7,43.4,41.5,10.0,LW,78.7
671799,RW,68,33.3,74.1,70.2,55.6,50.2,65.8,65.5,66.7,12.7,LW,74.1
836441,CB,72,49.8,6.2,12.4,30.7,56.2,14.2,52.4,50.7,77.9,CB,77.9
1059814,CDM,65,47.1,11.0,13.4,54.1,70.9,29.1,63.1,62.0,65.1,CDM,70.9
54781,CB,81,58.5,15.6,18.0,63.5,80.0,35.6,62.5,61.1,78.4,CDM,80.0
60410,LB,83,33.1,63.9,54.8,72.6,81.2,59.9,83.2,84.7,23.8,RB,84.7
68863,ST,83,83.1,61.7,58.8,52.9,26.1,74.8,12.1,5.9,31.7,ST,83.1
111630,RW,79,54.5,79.7,73.5,65.7,45.5,80.5,45.9,43.5,16.0,CAM,80.5
112302,CM,78,45.7,75.4,67.8,78.0,67.8,80.0,66.8,66.2,20.6,CAM,80.0
113133,CB,77,55.2,10.0,13.7,51.3,66.1,30.1,56.9,56.2,78.7,CB,78.7
131225,LB,78,39.6,29.4,23.9,52.2,61.0,25.4,78.0,80.5,26.3,RB,80.5
190442,CAM,73,69.9,70.4,61.2,61.4,30.4,77.2,20.9,16.4,13.9,CAM,77.2
193768,ST,69,76.0,68.5,63.7,41.2,19.1,67.6,14.2,9.5,17.1,ST,76.0
225963,CB,72,52.3,8.5,16.2,49.4,70.4,24.8,57.5,56.1,74.8,CB,74.8
