player_id,natural_pos,OVR,ST_combo,LW_combo,RW_combo,CM_combo,CDM_combo,CAM_combo,LB_combo,RB_combo,CB_combo,best_combo_pos,best_combo_score
24379,CM,68,12.5,49.1,52.7,75.5,61.3,64.6,56.0,53.5,23.1,CM,75.5
128105,CM,73,12.2,40.3,45.1,76.8,67.2,60.4,56.1,53.2,23.0,CM,76.8
182323,LB,71,9.1,51.6,55.3,74.7,71.1,56.3,75.6,71.7,28.1,LB,75.6
243725,CM,72,11.1,43.5,47.9,75.1,73.8,58.4,65.7,67.3,36.2,CM,75.1
312678,CB,75,6.8,23.6,27.0,48.2,76.0,29.9,70.3,74.2,72.0,CDM,76.0
327757,ST,74,74.9,73.6,71.4,35.4,20.3,71.3,13.1,16.9,10.7,ST,74.9
396640,CDM,69,10.3,42.2,44.7,72.5,74.9,56.0,65.9,66.3,41.3,CDM,74.9
397090,LW,76,56.3,72.9,73.6,60.6,38.7,75.9,42.0,42.0,9.9,CAM,75.9
408563,CB,71,8.8,30.6,33.3,47.8,74.4,32.5,72.4,73.6,72.7,CDM,74.4
421710,RW,68,62.9,74.6,72.0,38.6,24.8,70.0,36.0,38.5,11.6,LW,74.6
439343,ST,69,77.0,73.3,70.9,38.9,16.3,71.7,10.0,11.6,11.5,ST,77.0
469976,LB,74,10.6,47.8,52.2,66.3,69.6,51.6,75.4,74.0,40.0,LB,75.4
498529,CM,73,9.7,42.6,46.5,76.9,73.8,56.5,70.1,69.7,32.1,CM,76.9
520815,CB,74,9.2,16.5,18.4,34.2,64.1,18.8,59.5,63.0,78.2,CB,78.2
586756,RB,69,11.5,50.6,53.4,49.2,55.9,43.9,73.3,75.1,36.1,RB,75.1
210009,CB,70,11.0,26.8,31.6,62.6,74.8,41.5,59.4,60.0,73.0,CDM,74.8
222320,CB,71,9.3,15.7,17.4,42.1,69.8,25.1,54.3,58.3,77.5,CB,77.5
222977,LB,73,10.6,48.0,52.4,77.1,68.3,59.9,68.9,66.4,29.6,CM,77.1
229817,ST,72,69.5,75.1,72.5,43.4,29.4,72.1,8.0,11.6,29.6,LW,75.1
238500,LB,70,11.8,48.1,50.7,67.2,64.4,57.6,73.9,74.8,14.9,RB,74.8
248355,ST,74,48.0,71.4,71.2,62.5,44.5,74.4,42.8,43.6,10.3,CAM,74.4
271787,ST,67,75.4,66.5,63.3,38.5,25.3,68.3,8.8,11.6,24.6,ST,75.4
354214,ST,65,79.9,61.0,57.8,27.5,17.1,59.4,6.7,8.6,25.6,ST,79.9
433105,CAM,68,34.7,64.8,65.4,61.5,44.5,75.0,38.1,38.1,11.5,CAM,75.0
481128,ST,71,74.3,73.1,71.6,45.6,25.6,70.5,32.1,33.7,11.3,ST,74.3
508780,LW,68,66.8,75.7,74.0,40.0,16.1,74.5,14.0,15.6,12.6,LW,75.7
581429,CB,63,10.3,19.6,22.2,38.0,59.1,25.7,51.9,55.6,76.8,CB,76.8
1137664,ST,62,76.6,66.8,63.6,26.3,12.5,65.1,9.5,13.9,27.9,ST,76.6
453810,LW,65,40.4,73.5,73.1,45.8,30.1,69.9,41.0,41.3,13.9,LW,73.5
610484,ST,65,77.6,67.5,63.7,27.1,11.0,62.0,10.3,12.6,17.7,ST,77.6
82350,CB,72,9.1,14.5,17.4,47.0,71.5,28.5,47.6,48.8,77.9,CB,77.9
119234,ST,73,59.4,72.3,72.5,55.5,40.6,72.1,39.5,40.4,13.3,RW,72.5
127573,LB,74,8.1,49.0,53.2,65.3,65.7,52.5,77.3,76.8,30.9,LB,77.3
