,height_in_cm,pac,acceleration,sprint_speed,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,dribbling,agility,balance,reactions,ball_control,composure,interceptions,heading_accuracy,def_awareness,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,weight_in_kg,is_CAM
height_in_cm,1.0,-0.3762102195694452,-0.46781819028257615,-0.27317858437109527,-0.34358898474264354,-0.2696553502424482,-0.14803872651042063,-0.3005214570996912,-0.24172193567692302,-0.17893735614171438,-0.3472755541593824,-0.43863526543675896,-0.34766766383009656,-0.16278706601375462,-0.14572998763015055,-0.40058449957366105,-0.40599327184494666,-0.5973074009307412,-0.6996726154628927,-0.011065139153785854,-0.28953816696335477,-0.07620009999597264,0.1203399177934709,0.5039656106349298,0.1467701412193654,0.1343973341318594,0.1260852445072971,0.41772254061879577,-0.11353799266710328,0.6035764658608038,0.20422212688558006,0.6518850352518419,-0.15082495999119747
pac,-0.3762102195694452,1.0,0.9491472942784736,0.9657249247632256,0.4224791637872202,0.358090640950612,0.22108322708177977,0.2938018742195976,0.29155519665502394,0.19123592453893318,0.2796836837149715,0.4128594494458431,0.1994663438549345,0.11084057812028018,-0.02219810406228874,0.3606733755922782,0.5107148673912373,0.6971822832087244,0.5569349640118518,0.1130701011187608,0.3550694794350065,0.08599552244031174,-0.2806953565917237,-0.28351351655412843,-0.2949645474686676,-0.27665638178279683,-0.26889735946906773,0.10000692939317112,0.2688129960135319,-0.3111107513176545,-0.22597618202249375,-0.37557315182586076,0.01487038198851815
acceleration,-0.46781819028257615,0.9491472942784736,1.0,0.8360102949595761,0.459055439105813,0.3918971595081404,0.23311017680080828,0.3365677503214022,0.3261533609945999,0.22334338002420412,0.33042785035433403,0.46215027157636696,0.2630776941904842,0.13672671095360572,0.012193281531486987,0.41543960328571355,0.5516318298253576,0.767191573816899,0.6474499664852231,0.10082761528943394,0.38780418528127886,0.09126758009322958,-0.2862827574640654,-0.37096402815487334,-0.3085332904962084,-0.2886679461871744,-0.27977336930693575,0.017695416244383335,0.2697982037268946,-0.40715718542102347,-0.2612470684019174,-0.458845620419697,0.05360970399104877
sprint_speed,-0.27317858437109527,0.9657249247632256,0.8360102949595761,1.0,0.36099191874186715,0.30318067379252667,0.19399536354103405,0.2363450552335548,0.24033116395799622,0.15041395626017282,0.21713616287832302,0.34160844159847253,0.1319749487850733,0.08108284518987159,-0.04867848057516278,0.28853367411699554,0.4387992814129524,0.5873792693330393,0.44076785546271435,0.11436626525622674,0.3013876678230512,0.07514366477340156,-0.25501695561336846,-0.19063330149552438,-0.26168581741264807,-0.2457617024286815,-0.2396222530514585,0.16010487289668277,0.2475558871952345,-0.20872668305575814,-0.18056796834220903,-0.2799136817540455,-0.01738414276172944
positioning,-0.34358898474264354,0.4224791637872202,0.459055439105813,0.36099191874186715,1.0,0.8690723371209965,0.7155524307313126,0.8200127225898006,0.7885679495540827,0.6886850335392654,0.7688893806549247,0.619075412012053,0.6443087146594102,0.4601417501498635,0.25525515680796995,0.7289244299442418,0.8079566555798694,0.592509553144192,0.49013571726105903,0.4075436890868512,0.7267242653185919,0.4837904820543661,-0.38476691318792605,-0.11494927739036707,-0.4093552792839677,-0.41644435204118546,-0.44227309657256564,0.027662659826249658,0.2883884043949272,-0.20467639852031302,-0.1299431506460864,-0.2619595083425344,0.15055214421992058
finishing,-0.2696553502424482,0.358090640950612,0.3918971595081404,0.30318067379252667,0.8690723371209965,1.0,0.7687813963514706,0.861965275022398,0.8632430198757279,0.7941756347512647,0.6875542251325513,0.4535578603291345,0.6428461540711959,0.36981625137515023,0.15562377998829757,0.6549116309998468,0.721877363161117,0.5237656472619796,0.4124394611901334,0.3347351135955489,0.6573895222744395,0.43294565588275624,-0.5405351824599575,-0.08292856903176385,-0.5569696012207211,-0.5699570454780422,-0.5999704438104131,0.034156472971139926,0.18075229930047676,-0.17419740815790374,-0.2308129886352883,-0.18712035619071604,0.1737033655152924
shot_power,-0.14803872651042063,0.22108322708177977,0.23311017680080828,0.19399536354103405,0.7155524307313126,0.7687813963514706,1.0,0.8478061265265135,0.7692818592108311,0.6927122450896148,0.6612736980254731,0.47172118132701507,0.6712345551944546,0.504327318269823,0.35190732861772106,0.6576047353651634,0.6472803425320546,0.37613811258618546,0.2728047672374979,0.47667131795999584,0.6580464804988367,0.5730328254597442,-0.25295669638471174,0.10141033916796359,-0.25852793714475714,-0.28416155551755884,-0.3156706971056995,0.19063641752469143,0.2546169908679229,0.049504285406043326,0.04849855518356008,-0.021530176281564308,0.10468335310112573
long_shots,-0.3005214570996912,0.2938018742195976,0.3365677503214022,0.2363450552335548,0.8200127225898006,0.861965275022398,0.8478061265265135,1.0,0.8232373947690154,0.7277518420193922,0.7568372024720776,0.5628198096461076,0.7792994178522148,0.49573346585390105,0.3522909526886982,0.7496557175472346,0.7360711556872969,0.524103446265953,0.4276850355601433,0.4012226587295152,0.6955836183346681,0.5131693319027405,-0.3226931555623619,-0.09389447984859105,-0.3469441411492176,-0.35935482114301953,-0.38998134622652614,0.015103755299209631,0.26125639224188835,-0.1516571691277283,-0.09055128401668174,-0.19673920747180842,0.16718203346020707
volleys,-0.24172193567692302,0.29155519665502394,0.3261533609945999,0.24033116395799622,0.7885679495540827,0.8632430198757279,0.7692818592108311,0.8232373947690154,1.0,0.7869700512444121,0.6546340238904059,0.4614795123665759,0.6765052962787531,0.3799513111362832,0.18253316735285996,0.6838333573526979,0.6669074611343525,0.4793364664617637,0.381712420465644,0.360712694427344,0.6249558329398891,0.47386749864164396,-0.46727429815848776,-0.025912498892742226,-0.4793810067791497,-0.5005954625321364,-0.5306404842407936,0.06305893888356369,0.16327314844089746,-0.12760904055559774,-0.16266539978803407,-0.13942647792978455,0.16831706313800598
penalties,-0.17893735614171438,0.19123592453893318,0.22334338002420412,0.15041395626017282,0.6886850335392654,0.7941756347512647,0.6927122450896148,0.7277518420193922,0.7869700512444121,1.0,0.562505445600344,0.35916819524469906,0.6419502354618702,0.31959446299137406,0.13307831229532402,0.5738005350642852,0.5574872179641246,0.35927338048385066,0.2829808085277223,0.30700517515128223,0.5401614997185635,0.4202672159594658,-0.4641174646513844,0.027218453798006224,-0.47024248043961026,-0.4944220719352894,-0.5231658463981274,0.07537767323735164,0.10352941541078624,-0.07961383183308601,-0.1733307700982382,-0.08488809523630055,0.1482829258828819
