,height_in_cm,pac,acceleration,sprint_speed,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,dribbling,agility,balance,reactions,ball_control,composure,interceptions,heading_accuracy,def_awareness,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,weight_in_kg,is_CDM
height_in_cm,1.0,-0.41550657600973323,-0.5150678091132749,-0.3031529515661263,-0.3748968664604421,-0.29428757186338733,-0.16035696965259172,-0.32941808672572404,-0.26245189759035487,-0.1959521272496773,-0.37742767217620543,-0.47581450978090045,-0.37704569696245116,-0.17536769069138963,-0.15722162923680189,-0.43821594777987866,-0.4406748569930783,-0.6562755352422321,-0.7694028172749934,-0.016608028359081782,-0.31358918543500014,-0.07815887212453845,0.13253251411618602,0.5484215370668855,0.16366860306238343,0.14738103724559798,0.13748713373407337,0.45108641830747637,-0.1160609317693228,0.6585577390828088,0.22757423378510255,0.7162436284876005,0.009794577652045262
pac,-0.41550657600973323,1.0,0.9491425512208632,0.9657140033932663,0.42229256901316514,0.3579170821531855,0.2206509015053142,0.2933722648832668,0.2911214906242792,0.19091343898202076,0.27962288137546454,0.4125604771882695,0.19896627746327486,0.11074862399467673,-0.022090549061119354,0.3606085460934849,0.5104775492496391,0.6972628196535624,0.5566832370015925,0.11307331405042176,0.35472283650271486,0.08610835150237031,-0.28038868977307746,-0.2835274907279899,-0.29464644895446196,-0.2763415171508313,-0.2685625343081596,0.10010768963992055,0.26879698786840084,-0.3112847235450165,-0.226196832859091,-0.3756127515279838,-0.18722795433388456
acceleration,-0.5150678091132749,0.9491425512208632,1.0,0.8359785871670375,0.45896288682049813,0.3918273423014469,0.2327264090612424,0.3363293509572217,0.3258867486523763,0.22310785161480878,0.3303942432596907,0.46199724768457817,0.26269873869684673,0.13661812915308158,0.012224127586149875,0.41539823972618684,0.5514357805361777,0.7672512842554069,0.6473686915195803,0.10073516453427972,0.3875095207740486,0.09130712491276682,-0.2860937890288344,-0.37118974298388135,-0.3083350335976749,-0.2884695679467969,-0.279557213371529,0.017593677110005212,0.26973544349546624,-0.4075027723746597,-0.26159127397700704,-0.4589877157807266,-0.15666979448935914
sprint_speed,-0.3031529515661263,0.9657140033932663,0.8359785871670375,1.0,0.3607663561176945,0.3029593626039017,0.19355768713114094,0.23582013117599163,0.23981494564759662,0.15006260577528696,0.2170729402441029,0.3412294537486447,0.13142136712945107,0.08100708559765464,-0.04852978161146522,0.2884699044615928,0.4385468980204089,0.5874653643465226,0.44039208965467486,0.1144340382891792,0.3010334908184766,0.07530843418302795,-0.25465270089347153,-0.19048189067614818,-0.2613101693741666,-0.2453889765788638,-0.2392307013161391,0.1603543956967877,0.24758343048936676,-0.20874850496848701,-0.18067691947850348,-0.279844874164847,-0.19795487638580617
positioning,-0.3748968664604421,0.42229256901316514,0.45896288682049813,0.3607663561176945,1.0,0.8689419001215182,0.7156509601054037,0.8198655547091942,0.788347192404996,0.6885521843898671,0.7688049656355344,0.6188217546902784,0.6442316988382106,0.4603436411887331,0.25578350696720964,0.7288108519400194,0.8080228741137986,0.5922703027799041,0.4897580307486229,0.408025712786582,0.7266178320004819,0.484339333010643,-0.38420933663732015,-0.11472043855185032,-0.4087166403957144,-0.41594288391718004,-0.44174504886039206,0.02761254179568242,0.28810377862140135,-0.20467474820364895,-0.13016786360011876,-0.2624841730625992,-0.031274275042403
finishing,-0.29428757186338733,0.3579170821531855,0.3918273423014469,0.3029593626039017,0.8689419001215182,1.0,0.7689355971413439,0.8618898969137789,0.8631363613208778,0.794087402481199,0.6873499968884973,0.45315211604386246,0.642781093175209,0.36992670197479083,0.15602181581734656,0.6547172946876209,0.7219494551850478,0.5235994697377141,0.41218599295880093,0.33510369376552385,0.6572808342345765,0.43326600870735055,-0.5401889239024558,-0.08268059939872255,-0.5565803281397032,-0.5696804549007424,-0.5996896990160299,0.03414392331441676,0.18042689115676244,-0.17417088100222955,-0.2311254133519238,-0.1875677785813718,-0.05198852039882055
shot_power,-0.16035696965259172,0.2206509015053142,0.2327264090612424,0.19355768713114094,0.7156509601054037,0.7689355971413439,1.0,0.8479908516368643,0.7693475242531079,0.6926482598459819,0.6613736220898666,0.47145845223412625,0.6710262545902608,0.5043323310045243,0.3520892807169454,0.6576267455564591,0.6471334874108988,0.3759564872745008,0.27234873050807673,0.476752579745733,0.6578669250509673,0.5732948595277422,-0.2526920433985139,0.10158757346395365,-0.25823626309175624,-0.2839340015387367,-0.31545207769705214,0.19063811276172538,0.254509543998801,0.0494254805004427,0.0483458867421313,-0.021513967655654456,0.04344531968329236
long_shots,-0.32941808672572404,0.2933722648832668,0.3363293509572217,0.23582013117599163,0.8198655547091942,0.8618898969137789,0.8479908516368643,1.0,0.8230390451269235,0.7275982708007427,0.7569036819009974,0.5622537660982498,0.7792224066449918,0.49603251893694744,0.3530216851197721,0.7496336541586661,0.7360339805870454,0.5239859767779,0.427151196365557,0.40183816718827897,0.6953932378066299,0.5137824767821872,-0.32205141067682974,-0.0933241745435225,-0.34627337008992676,-0.3587951006032737,-0.3894266042005634,0.015369356177953576,0.2611184985633796,-0.1514808286833274,-0.09045350147123266,-0.19697502560882305,0.05218457984196947
volleys,-0.26245189759035487,0.2911214906242792,0.3258867486523763,0.23981494564759662,0.788347192404996,0.8631363613208778,0.7693475242531079,0.8230390451269235,1.0,0.7868940835592073,0.6545471948457755,0.4609915481328457,0.6763722045410322,0.3800959684918182,0.1830373156127473,0.6838284030227239,0.6668777878932587,0.4792004490188226,0.38118648750347167,0.3611345647946975,0.6247762193943345,0.4743943859032518,-0.4667348977408559,-0.025524235517486355,-0.4787815614490874,-0.5001353574405291,-0.5301665669579434,0.06310449638166048,0.1630051083935372,-0.1275198407922239,-0.16293485081660594,-0.13967914938278717,-0.05382051282393864
penalties,-0.1959521272496773,0.19091343898202076,0.22310785161480878,0.15006260577528696,0.6885521843898671,0.794087402481199,0.6926482598459819,0.7275982708007427,0.7868940835592073,1.0,0.5622991654404035,0.35872534214303226,0.6417428907090768,0.3195942456768433,0.1332451136965225,0.5735389440870174,0.55741291420618,0.35909845741895396,0.28276890489657525,0.307075144617669,0.5399162512683443,0.4202002211221366,-0.46390945658127136,0.02733059112965328,-0.4700157439677891,-0.494302271481451,-0.5230529583385122,0.07521488162691965,0.10321739577876882,-0.07983999494224898,-0.1737687547616658,-0.08524893560612802,-0.02806614300289467
