,height_in_cm,pac,acceleration,sprint_speed,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,dribbling,agility,balance,reactions,ball_control,composure,interceptions,heading_accuracy,def_awareness,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,weight_in_kg,is_RB
height_in_cm,1.0,-0.41550657600973273,-0.515067809113278,-0.30315295156612704,-0.3748968664604442,-0.29428757186338694,-0.16035696965259136,-0.329418086725724,-0.2624518975903556,-0.1959521272496771,-0.3774276721762076,-0.47581450978089845,-0.37704569696245205,-0.17536769069138677,-0.15722162923680014,-0.43821594777987766,-0.4406748569930777,-0.6562755352422324,-0.7694028172749936,-0.016608028359078087,-0.31358918543499964,-0.07815887212453657,0.13253251411618777,0.5484215370668878,0.16366860306238526,0.14738103724559937,0.13748713373407442,0.45108641830747886,-0.1160609317693235,0.6585577390828088,0.22757423378510452,0.716243628487603,-0.12969601494579902
pac,-0.41550657600973273,1.0,0.9491425512208695,0.9657140033932661,0.42229256901316675,0.35791708215318235,0.22065090150531408,0.29337226488326684,0.29112149062427917,0.19091343898201918,0.2796228813754627,0.41256047718826877,0.19896627746327497,0.11074862399467619,-0.022090549061119385,0.36060854609348486,0.5104775492496391,0.6972628196535595,0.5566832370015923,0.11307331405042159,0.3547228365027144,0.08610835150236981,-0.2803886897730772,-0.28352749072798894,-0.29464644895446107,-0.27634151715083055,-0.2685625343081598,0.10010768963992078,0.2687969878684005,-0.3112847235450172,-0.22619683285909056,-0.3756127515279823,0.15704208621211638
acceleration,-0.515067809113278,0.9491425512208695,1.0,0.8359785871670381,0.45896288682050007,0.3918273423014474,0.23272640906124314,0.3363293509572224,0.325886748652376,0.22310785161480934,0.3303942432596917,0.46199724768457967,0.26269873869684685,0.13661812915308136,0.012224127586149873,0.41539823972618917,0.5514357805361799,0.7672512842554079,0.6473686915195787,0.10073516453427993,0.38750952077405015,0.09130712491276682,-0.2860937890288362,-0.3711897429838807,-0.3083350335976771,-0.2884695679467973,-0.2795572133715305,0.017593677110005323,0.26973544349546746,-0.4075027723746612,-0.2615912739770073,-0.45898771578072445,0.15253629840690291
sprint_speed,-0.30315295156612704,0.9657140033932661,0.8359785871670381,1.0,0.3607663561176935,0.30295936260390166,0.19355768713114055,0.23582013117599288,0.23981494564759717,0.15006260577528602,0.21707294024410193,0.34122945374864444,0.13142136712945157,0.08100708559765352,-0.04852978161146539,0.2884699044615937,0.438546898020408,0.5874653643465207,0.4403920896546747,0.11443403828917895,0.301033490818477,0.07530843418302825,-0.2546527008934711,-0.19048189067614774,-0.2613101693741662,-0.24538897657886344,-0.2392307013161379,0.16035439569678842,0.24758343048936646,-0.20874850496848757,-0.18067691947850312,-0.27984487416484605,0.1488911545519682
positioning,-0.3748968664604442,0.42229256901316675,0.45896288682050007,0.3607663561176935,1.0,0.868941900121522,0.7156509601054034,0.8198655547091965,0.7883471924049972,0.6885521843898628,0.7688049656355302,0.6188217546902799,0.6442316988382143,0.460343641188736,0.25578350696721136,0.7288108519400156,0.8080228741138016,0.5922703027799003,0.489758030748625,0.4080257127865822,0.7266178320004831,0.4843393330106426,-0.38420933663731904,-0.1147204385518504,-0.4087166403957139,-0.4159428839171812,-0.4417450488603908,0.027612541795682524,0.2881037786214021,-0.20467474820364873,-0.13016786360011848,-0.26248417306259864,0.023724618091586186
finishing,-0.29428757186338694,0.35791708215318235,0.3918273423014474,0.30295936260390166,0.868941900121522,1.0,0.7689355971413415,0.8618898969137805,0.8631363613208791,0.7940874024811954,0.6873499968884981,0.45315211604386313,0.6427810931752118,0.3699267019747888,0.15602181581734567,0.6547172946876221,0.7219494551850459,0.5235994697377133,0.41218599295880015,0.3351036937655231,0.6572808342345777,0.43326600870734866,-0.540188923902454,-0.08268059939872263,-0.556580328139702,-0.5696804549007425,-0.5996896990160283,0.03414392331441634,0.18042689115676164,-0.17417088100222897,-0.23112541335192283,-0.18756777858137086,-0.14179315505650195
shot_power,-0.16035696965259136,0.22065090150531408,0.23272640906124314,0.19355768713114055,0.7156509601054034,0.7689355971413415,1.0,0.847990851636864,0.7693475242531109,0.6926482598459767,0.6613736220898657,0.4714584522341254,0.6710262545902571,0.5043323310045258,0.35208928071694473,0.6576267455564574,0.6471334874108975,0.37595648727449993,0.27234873050807634,0.4767525797457329,0.6578669250509713,0.5732948595277407,-0.25269204339851287,0.1015875734639541,-0.2582362630917571,-0.28393400153873705,-0.315452077697051,0.19063811276172501,0.25450954399880094,0.049425480500442674,0.04834588674213141,-0.02151396765565387,-0.1356922962866098
long_shots,-0.329418086725724,0.29337226488326684,0.3363293509572224,0.23582013117599288,0.8198655547091965,0.8618898969137805,0.847990851636864,1.0,0.8230390451269267,0.7275982708007409,0.756903681900994,0.5622537660982494,0.7792224066449924,0.4960325189369472,0.3530216851197718,0.7496336541586656,0.7360339805870479,0.5239859767779017,0.4271511963655568,0.40183816718827897,0.695393237806633,0.5137824767821891,-0.32205141067682896,-0.09332417454352267,-0.346273370089927,-0.358795100603274,-0.3894266042005629,0.01536935617795331,0.26111849856338026,-0.15148082868332732,-0.09045350147123266,-0.1969750256088229,-0.11295192434604867
volleys,-0.2624518975903556,0.29112149062427917,0.325886748652376,0.23981494564759717,0.7883471924049972,0.8631363613208791,0.7693475242531109,0.8230390451269267,1.0,0.7868940835592034,0.6545471948457733,0.4609915481328457,0.676372204541032,0.38009596849182,0.18303731561274827,0.6838284030227206,0.6668777878932547,0.4792004490188223,0.3811864875034744,0.36113456479469663,0.6247762193943354,0.4743943859032532,-0.4667348977408587,-0.025524235517486303,-0.4787815614490881,-0.5001353574405304,-0.5301665669579477,0.06310449638166031,0.16300510839353646,-0.12751984079222475,-0.16293485081660647,-0.1396791493827867,-0.14432036213797755
penalties,-0.1959521272496771,0.19091343898201918,0.22310785161480934,0.15006260577528602,0.6885521843898628,0.7940874024811954,0.6926482598459767,0.7275982708007409,0.7868940835592034,1.0,0.5622991654403998,0.35872534214303176,0.6417428907090752,0.31959424567684214,0.13324511369652206,0.5735389440870182,0.5574129142061788,0.3590984574189506,0.2827689048965758,0.30707514461766877,0.5399162512683431,0.42020022112213495,-0.4639094565812704,0.02733059112965343,-0.4700157439677878,-0.4943022714814507,-0.523052958338509,0.07521488162691937,0.10321739577876918,-0.07983999494224849,-0.17376875476166467,-0.08524893560612747,-0.16589582546366174
