feature,gain
vision,0.13558
finishing,0.10430819
sliding_tackle,0.0845431
long_passing,0.05907825
jumping,0.055699952
def_awareness,0.05446869
interceptions,0.041610576
pac,0.034800477
positioning,0.030202853
free_kick_accuracy,0.029383818
standing_tackle,0.02707786
dribbling,0.025455404
penalties,0.024642643
crossing,0.021848196
sprint_speed,0.02184007
stamina,0.021412898
acceleration,0.021027511
strength,0.017976018
heading_accuracy,0.01727563
weight_in_kg,0.016755214
curve,0.01643391
aggression,0.016037073
composure,0.014722931
ball_control,0.013907284
balance,0.01375206
volleys,0.013684732
reactions,0.0131308995
short_passing,0.012755484
shot_power,0.012199425
agility,0.009870589
height_in_cm,0.0097724935
long_shots,0.008745803
