feature,gain
num__positioning,0.47064808
num__def_awareness,0.0785524
num__finishing,0.075604804
num__heading_accuracy,0.07483121
num__dribbling,0.038155228
num__sliding_tackle,0.032714643
height__height_in_cm,0.025527932
num__strength,0.019915102
num__standing_tackle,0.019697811
num__crossing,0.014580153
num__interceptions,0.012337052
num__balance,0.011915313
num__jumping,0.011535279
num__ball_control,0.010691733
num__stamina,0.009588113
num__curve,0.007503495
num__free_kick_accuracy,0.007181123
num__vision,0.0071613807
num__short_passing,0.006504306
num__weight_in_kg,0.006190902
num__pac,0.0061863973
num__long_shots,0.005952765
num__volleys,0.005743197
num__composure,0.005683996
num__shot_power,0.0051544104
num__agility,0.005093991
num__aggression,0.0045319935
num__long_passing,0.0044820043
num__acceleration,0.0044677197
num__sprint_speed,0.0044676326
num__penalties,0.003923927
num__reactions,0.003475872
