feature,gain
def_awareness,0.13974203
sliding_tackle,0.10422702
long_passing,0.062492214
vision,0.057923935
sprint_speed,0.056346465
standing_tackle,0.050139222
crossing,0.04815272
pac,0.033852756
positioning,0.033238415
long_shots,0.030588986
finishing,0.028538778
heading_accuracy,0.027928013
short_passing,0.026462242
free_kick_accuracy,0.026039382
stamina,0.022830067
dribbling,0.021795327
strength,0.019678539
aggression,0.018332282
interceptions,0.017476702
jumping,0.01729158
composure,0.016021809
balance,0.016016131
penalties,0.01552423
height_in_cm,0.015418829
acceleration,0.014598203
reactions,0.013941845
shot_power,0.012769711
ball_control,0.012438023
volleys,0.01153101
curve,0.01087458
weight_in_kg,0.009387128
agility,0.008401868
