feature,gain
num__long_passing,0.2370593
num__interceptions,0.064678974
num__heading_accuracy,0.062398054
num__jumping,0.05905593
num__standing_tackle,0.053813305
num__finishing,0.052883185
num__sliding_tackle,0.049774315
num__vision,0.049220923
num__positioning,0.043099422
num__crossing,0.03322253
num__pac,0.03056525
num__def_awareness,0.028660158
num__long_shots,0.024472391
num__acceleration,0.019140186
num__volleys,0.01684522
num__dribbling,0.015766509
num__sprint_speed,0.01401123
num__strength,0.013039371
num__short_passing,0.013007603
num__shot_power,0.012328341
num__stamina,0.010811951
num__reactions,0.010630867
num__ball_control,0.01024785
num__aggression,0.009668723
num__free_kick_accuracy,0.009108086
height__height_in_cm,0.008794362
num__penalties,0.008464969
num__weight_in_kg,0.008117609
num__curve,0.008092057
num__composure,0.0076900497
num__agility,0.007680427
num__balance,0.0076508457
