feature,gain
sliding_tackle,0.22216368
crossing,0.16207801
standing_tackle,0.05663599
pac,0.047477353
finishing,0.039737396
long_passing,0.036225192
short_passing,0.034963224
interceptions,0.02959543
acceleration,0.027821206
composure,0.027296355
heading_accuracy,0.02482846
height_in_cm,0.020536719
reactions,0.019354459
shot_power,0.01915946
vision,0.017823007
def_awareness,0.017373549
penalties,0.016824502
jumping,0.01675775
curve,0.0166782
volleys,0.014887834
aggression,0.014656515
long_shots,0.014050733
free_kick_accuracy,0.01322766
sprint_speed,0.01149939
dribbling,0.011041227
ball_control,0.01071476
weight_in_kg,0.010652615
positioning,0.01060461
balance,0.010176121
stamina,0.009670507
agility,0.008271835
strength,0.0072162515
