feature,gain
sliding_tackle,0.25813198
crossing,0.07692654
acceleration,0.061038464
positioning,0.04724161
interceptions,0.046281684
standing_tackle,0.04619932
pac,0.037087906
strength,0.034473952
finishing,0.032816477
heading_accuracy,0.025361195
sprint_speed,0.021273578
volleys,0.019595617
jumping,0.017587712
vision,0.017270464
shot_power,0.01709514
ball_control,0.016907739
long_passing,0.0168277
aggression,0.016419146
height_in_cm,0.016124718
dribbling,0.016063282
def_awareness,0.01546853
curve,0.015165128
short_passing,0.014789402
balance,0.01370821
composure,0.013478321
long_shots,0.013323674
reactions,0.013238343
stamina,0.012559779
weight_in_kg,0.012323843
penalties,0.012206731
free_kick_accuracy,0.01192026
agility,0.011093624
