feature,gain
sliding_tackle,0.23365338
crossing,0.13391508
vision,0.05135132
standing_tackle,0.040045846
def_awareness,0.036836933
long_passing,0.034708574
acceleration,0.03154196
heading_accuracy,0.030661162
short_passing,0.026694706
pac,0.026275268
interceptions,0.024848316
strength,0.02419548
long_shots,0.022055903
free_kick_accuracy,0.02059045
positioning,0.020273207
finishing,0.020112466
sprint_speed,0.018725002
dribbling,0.017697413
ball_control,0.017139023
volleys,0.016634623
shot_power,0.016503142
balance,0.014782662
height_in_cm,0.014005788
jumping,0.013418704
reactions,0.012426466
curve,0.01208808
weight_in_kg,0.012063346
agility,0.01178931
composure,0.011781667
aggression,0.011362617
penalties,0.011001227
stamina,0.010820862
