feature,gain
num__sliding_tackle,0.2320881
num__crossing,0.103886515
num__pac,0.06199833
num__acceleration,0.04240334
num__finishing,0.0400638
num__heading_accuracy,0.034999743
num__standing_tackle,0.03456101
num__jumping,0.031182209
num__strength,0.027905378
num__sprint_speed,0.027631583
num__long_passing,0.02425869
num__agility,0.023547333
num__interceptions,0.022114763
num__positioning,0.020798655
num__dribbling,0.017998246
height__height_in_cm,0.017230725
num__aggression,0.017036526
num__weight_in_kg,0.017032094
num__short_passing,0.01673246
num__vision,0.016662292
num__shot_power,0.015763475
num__reactions,0.015745169
num__ball_control,0.015450015
num__stamina,0.014728991
num__penalties,0.0140844
num__long_shots,0.014074267
num__composure,0.013978054
num__volleys,0.013957585
num__balance,0.013855936
num__free_kick_accuracy,0.013248379
num__curve,0.012585027
num__def_awareness,0.012396917
