feature,gain
def_awareness,0.43150315
sliding_tackle,0.16790843
heading_accuracy,0.11097735
interceptions,0.047968596
strength,0.025111202
jumping,0.021717474
long_passing,0.021285774
crossing,0.02001221
finishing,0.015067678
standing_tackle,0.014685782
acceleration,0.010713646
positioning,0.009512078
volleys,0.00908184
weight_in_kg,0.008183551
curve,0.0071470863
penalties,0.0069016335
pac,0.00655604
dribbling,0.006376899
agility,0.0059807543
long_shots,0.005413239
free_kick_accuracy,0.005329076
short_passing,0.00506921
ball_control,0.00451557
vision,0.0044522565
reactions,0.0043518487
shot_power,0.0039233635
composure,0.0037231867
height_in_cm,0.0034291558
stamina,0.0034042348
balance,0.0033843708
sprint_speed,0.0032909808
aggression,0.0030222656
