player_id,natural_pos,OVR,ST_combo,LW_combo,RW_combo,CM_combo,CDM_combo,CAM_combo,LB_combo,RB_combo,CB_combo,best_combo_pos,best_combo_score
215,ST,69,77.5,41.4,35.7,36.5,17.6,57.4,5.4,7.0,36.1,ST,77.5
1073,CB,73,57.0,10.0,15.4,53.4,69.0,27.1,59.5,59.9,77.9,CB,77.9
2805,LB,78,35.7,41.4,41.7,41.8,61.0,22.0,81.3,79.5,51.3,LB,81.3
3333,CM,75,33.6,33.1,28.2,80.6,77.3,51.7,71.9,69.1,23.1,CM,80.6
3881,RB,73,38.1,30.8,35.5,43.5,63.7,15.9,77.8,77.3,57.7,LB,77.8
5017,CB,69,54.9,11.9,14.3,67.6,75.2,36.5,49.2,48.5,67.4,CDM,75.2
5474,CB,67,67.3,8.0,10.6,60.5,70.4,37.0,41.9,41.5,72.1,CB,72.1
5917,CB,67,66.6,9.7,18.8,60.7,71.3,24.1,51.3,51.6,71.6,CB,71.6
6107,CB,70,55.3,6.2,13.5,38.9,63.0,17.4,50.3,50.5,75.2,CB,75.2
7161,CAM,82,39.4,73.1,68.7,77.1,59.2,82.8,51.2,49.3,16.9,CAM,82.8
7663,RW,67,51.2,74.1,73.4,46.4,15.9,68.9,20.3,21.8,1.1,LW,74.1
7776,CB,64,57.7,23.4,31.3,31.2,57.3,11.0,70.9,70.0,69.9,LB,70.9
8198,ST,86,84.7,76.1,72.0,52.6,16.0,79.8,11.6,13.2,18.7,ST,84.7
8746,LB,73,35.6,44.1,45.7,31.5,49.3,18.7,76.7,77.5,39.0,RB,77.5
9915,CB,68,53.9,21.8,18.0,72.6,75.8,47.4,55.8,53.7,51.9,CDM,75.8
11111,CB,72,60.7,16.6,22.3,62.9,76.5,26.4,69.1,68.0,76.0,CDM,76.5
12249,CM,79,26.3,42.9,38.9,83.0,73.7,64.6,62.1,59.9,21.1,CM,83.0
12282,CB,80,49.1,22.2,21.0,79.2,84.3,43.9,71.9,70.3,63.6,CDM,84.3
13217,RB,70,17.9,42.5,47.4,61.5,60.5,29.6,75.8,74.2,16.1,LB,75.8
14031,ST,61,70.1,52.5,50.5,30.3,6.1,60.4,0.0,0.9,7.5,ST,70.1
14086,RB,73,49.4,39.5,33.0,71.2,69.6,47.0,78.7,76.7,23.2,LB,78.7
14282,CB,82,51.1,27.1,26.0,60.5,81.0,26.4,83.2,80.6,71.2,LB,83.2
15185,CAM,72,70.3,60.7,56.7,63.1,23.6,77.6,9.9,10.6,10.9,CAM,77.6
15452,CB,79,54.3,6.1,10.0,59.5,79.4,27.6,57.6,57.3,81.6,CB,81.6
15799,CM,75,48.7,63.0,59.8,80.1,57.4,79.4,48.5,47.0,15.4,CM,80.1
15956,RB,80,36.5,68.0,65.2,72.2,67.6,59.5,82.8,81.7,22.3,LB,82.8
16136,CB,79,59.0,11.7,14.2,66.8,80.2,36.7,57.1,55.6,81.4,CB,81.4
16306,CDM,84,61.9,22.4,18.9,76.7,84.1,52.3,63.6,63.0,72.2,CDM,84.1
16417,CB,67,52.3,7.0,14.4,33.1,55.3,5.2,54.6,54.7,72.7,CB,72.7
16902,RW,62,40.5,69.8,70.3,50.7,29.2,67.1,30.0,29.6,0.9,RW,70.3
18922,ST,86,84.1,76.7,72.6,60.9,25.8,84.0,10.6,10.4,27.9,ST,84.1
18934,CM,69,48.0,19.0,17.0,75.4,71.4,53.6,45.7,43.2,41.7,CM,75.4
19305,LB,66,47.1,19.1,18.8,74.6,72.3,45.0,61.9,59.9,42.9,CM,74.6
19712,CB,70,64.0,4.0,8.1,50.3,59.4,27.8,34.7,33.6,75.7,CB,75.7
20137,CM,74,33.8,43.9,40.9,79.3,68.2,64.1,57.5,56.5,19.5,CM,79.3
21480,LB,70,24.7,46.2,51.7,53.5,57.1,34.2,74.1,71.4,18.9,LB,74.1
22519,CM,58,46.0,60.4,64.3,66.3,40.0,56.4,45.1,47.5,8.2,CM,66.3
22686,ST,70,77.1,58.7,56.5,24.5,13.6,54.4,5.1,7.4,31.5,ST,77.1
22972,CB,65,58.4,19.6,26.8,43.8,57.3,11.3,66.8,66.5,71.8,CB,71.8
23306,CM,64,39.2,45.5,45.6,70.6,49.9,64.8,39.2,39.1,7.3,CM,70.6
23389,ST,70,75.0,66.0,63.9,31.5,6.4,63.4,3.6,6.3,15.2,ST,75.0
24113,RB,66,44.3,23.3,19.7,75.0,67.0,52.1,52.2,48.9,24.5,CM,75.0
24379,CM,68,39.9,52.7,50.9,75.4,55.8,66.4,49.6,48.0,15.6,CM,75.4
25942,CB,66,66.4,16.9,14.0,70.5,73.0,50.1,45.4,43.8,69.6,CDM,73.0
26485,CB,68,54.9,10.8,13.5,69.9,75.6,31.8,53.8,52.1,75.3,CDM,75.6
27178,CB,70,55.9,12.6,16.6,61.0,73.7,32.1,56.2,55.2,75.7,CB,75.7
27305,CDM,59,28.1,14.0,22.2,68.6,54.2,44.1,25.7,24.1,14.1,CM,68.6
27661,ST,70,75.9,57.8,53.7,67.5,31.5,76.2,15.7,13.8,16.8,CAM,76.2
27992,CM,86,36.7,69.4,68.0,85.8,69.8,77.8,68.4,67.1,19.2,CM,85.8
28003,RW,88,62.0,81.9,78.2,69.5,31.2,86.8,27.2,27.3,4.2,CAM,86.8
28396,ST,82,82.0,60.2,56.3,62.7,34.2,76.3,8.2,6.8,44.4,ST,82.0
29364,CM,77,36.9,35.7,31.6,80.7,65.6,60.4,48.4,46.5,18.5,CM,80.7
30687,CAM,73,48.2,69.5,66.2,70.8,51.1,76.8,51.6,51.4,7.8,CAM,76.8
30982,ST,56,69.6,46.8,42.8,46.2,16.1,63.8,7.1,8.6,11.8,ST,69.6
31552,LW,63,62.0,71.1,70.4,46.3,21.8,67.8,22.0,22.5,9.2,LW,71.1
31599,CDM,71,58.1,17.1,18.3,58.3,76.0,27.5,67.3,65.0,71.0,CDM,76.0
31645,CM,65,45.6,70.1,72.1,65.7,49.6,67.3,52.1,52.8,10.8,RW,72.1
32113,CB,74,52.6,4.7,12.0,47.3,70.2,14.7,57.1,57.2,76.8,CB,76.8
32467,CM,80,27.9,37.4,30.9,83.4,74.1,66.5,57.7,55.4,24.0,CM,83.4
32816,CB,82,51.0,27.1,26.0,60.5,80.9,26.4,83.2,80.6,69.9,LB,83.2
33218,CDM,65,21.2,29.1,28.1,75.0,62.1,58.4,35.0,29.2,14.5,CM,75.0
33507,ST,65,77.1,41.0,38.1,36.0,21.1,51.7,6.2,7.0,39.5,ST,77.1
33544,RB,65,57.4,71.4,68.9,62.7,59.2,71.2,52.3,47.1,17.3,LW,71.4
33571,RB,72,74.4,30.3,23.1,63.7,66.1,41.2,76.0,77.4,65.0,RB,77.4
33706,LW,73,71.6,73.6,71.0,58.4,21.1,78.2,9.7,9.4,11.9,CAM,78.2
33763,ST,75,77.9,59.8,54.4,43.1,12.5,69.4,1.8,3.8,18.7,ST,77.9
33829,CB,75,60.5,8.3,9.5,59.1,72.9,31.6,52.3,52.5,79.6,CB,79.6
34198,CB,70,56.1,10.6,13.6,57.4,70.3,26.3,56.0,55.1,75.2,CB,75.2
34336,CB,69,63.0,16.0,23.3,42.3,65.0,27.9,60.6,60.2,74.0,CB,74.0
34601,ST,74,78.4,51.5,49.7,47.4,19.5,69.0,2.3,6.5,22.2,ST,78.4
35047,CB,80,63.6,19.4,18.4,75.4,82.9,48.7,58.9,57.4,77.7,CDM,82.9
35099,ST,63,73.0,46.5,43.9,46.8,19.4,61.4,0.8,1.1,28.6,ST,73.0
35245,RW,75,49.6,78.9,76.0,56.1,43.6,74.1,56.5,56.8,11.7,LW,78.9
289846,ST,65,73.7,45.9,45.2,28.7,12.0,53.4,1.0,3.8,23.1,ST,73.7
36808,CB,65,52.1,15.4,21.1,35.3,56.3,10.4,63.8,63.9,72.8,CB,72.8
37666,CM,74,74.7,29.4,23.8,80.4,78.9,57.4,71.7,71.8,58.7,CM,80.4
37838,CB,74,58.4,9.1,16.0,52.3,68.9,23.0,58.9,59.1,78.4,CB,78.4
37920,LW,74,65.1,78.8,77.7,57.3,18.5,77.7,15.6,14.3,9.1,LW,78.8
38073,LB,67,40.3,26.9,29.1,50.9,65.0,31.4,74.2,71.6,20.1,LB,74.2
38253,ST,88,85.7,76.1,71.6,57.3,24.1,81.6,13.3,12.2,27.1,ST,85.7
38607,LW,75,48.7,78.9,76.8,64.0,43.1,73.8,46.2,45.4,12.3,LW,78.9
38746,ST,68,76.6,42.0,39.5,35.1,19.5,56.0,1.9,4.0,36.9,ST,76.6
39049,ST,69,77.1,58.7,56.9,38.4,18.0,61.6,8.6,9.2,32.4,ST,77.1
39073,LB,70,19.6,42.2,48.6,50.6,57.3,28.6,74.1,71.0,32.6,LB,74.1
39125,LB,72,39.4,50.3,47.8,57.3,54.0,38.7,78.1,75.7,22.7,LB,78.1
39829,CB,87,54.6,20.3,27.2,64.9,84.9,23.4,78.8,77.5,82.4,CDM,84.9
40478,CB,68,61.9,11.8,13.2,60.8,74.5,33.3,56.4,56.8,70.5,CDM,74.5
40605,RB,65,18.5,27.7,25.7,56.9,65.6,27.1,73.7,70.4,22.5,LB,73.7
40633,CDM,73,46.8,19.4,18.7,77.0,77.1,42.1,51.3,48.6,52.0,CDM,77.1
41037,ST,74,77.5,66.7,63.3,41.1,13.1,72.7,2.5,4.3,17.9,ST,77.5
41355,ST,74,79.0,61.3,58.3,54.7,28.4,71.1,12.5,11.1,35.2,ST,79.0
41384,ST,80,81.1,71.6,67.5,59.1,23.8,80.0,16.4,18.2,21.9,ST,81.1
41458,CM,68,72.7,22.8,17.9,75.3,73.1,57.2,52.5,52.4,59.2,CM,75.3
42072,CM,71,47.4,67.9,65.2,71.4,46.6,77.6,37.7,34.8,14.6,CAM,77.6
42401,CB,66,60.4,11.6,12.0,61.0,66.5,28.9,56.2,56.7,72.1,CB,72.1
42710,CB,80,57.8,17.7,19.0,73.5,83.4,41.1,60.8,59.9,76.8,CDM,83.4
42735,CM,74,25.7,24.7,20.5,79.3,71.5,55.8,44.6,39.1,23.3,CM,79.3
42913,CB,68,48.6,10.8,18.6,50.7,71.7,15.9,64.1,63.4,71.7,CDM,71.7
43228,CAM,73,41.7,74.3,72.1,67.8,45.4,77.7,38.0,36.2,11.4,CAM,77.7
43250,CB,78,58.9,20.1,20.3,63.6,81.6,34.1,72.3,72.0,80.9,CDM,81.6
43266,CM,63,47.9,49.9,51.6,71.8,54.3,66.8,48.8,47.3,12.2,CM,71.8
43521,CM,61,18.7,48.2,50.4,70.1,67.7,61.2,60.8,60.6,13.1,CM,70.1
43530,CAM,74,50.9,52.4,48.3,78.6,57.5,72.7,47.7,46.9,17.6,CM,78.6
44352,ST,82,82.5,69.9,63.9,58.4,22.4,81.4,14.2,15.5,19.0,ST,82.5
44471,LW,66,48.1,48.4,43.9,67.3,58.1,74.2,47.6,46.2,19.0,CAM,74.2
44726,ST,65,71.9,57.0,54.1,43.3,18.0,67.8,1.9,4.0,18.2,ST,71.9
45196,CB,65,51.4,7.9,16.3,50.4,66.6,18.1,52.5,52.6,71.0,CB,71.0
45587,CB,65,45.5,3.9,13.0,43.5,64.6,14.7,54.5,55.0,70.2,CB,70.2
45683,CB,73,57.8,11.4,15.3,39.3,60.8,16.2,56.9,57.0,77.5,CB,77.5
45865,ST,72,78.8,48.7,43.5,46.1,19.8,67.1,1.7,3.3,29.4,ST,78.8
46001,CM,73,52.6,25.4,20.9,77.9,77.5,44.9,62.4,62.6,52.6,CM,77.9
